pmid,ref,pmc,doi_src,authors,n_authors,title,journal,year,volume,issue,pages,doi
16540951,1,,,"Zimmerman JE, Kramer AA, McNair DS, Malila FM",4,Acute Physiology and Chronic Health Evaluation (APACHE) IV: hospital mortality assessment for today's critically ill patients,Crit Care Med,2006,34,5,1297-310,10.1097/01.CCM.0000215112.84523.F0
,2,,,,,,,,,,,
31723646,3,PMC6786733,,"Choi JW, Park YS, Lee YS, Park YH, Chung C, Park DI, Kwon IS, Lee JS, Min NE, Park JE, Yoo SH, Chon GR, Sul YH, Moon JY",14,The Ability of the Acute Physiology and Chronic Health Evaluation (APACHE) IV Score to Predict Mortality in a Single Tertiary Hospital,Korean J Crit Care Med,2017,32,3,275-283,10.4266/kjccm.2016.00990
31723888,4,,,"Ko M, Shim M, Lee SM, Kim Y, Yoon S",5,"Performance of APACHE IV in Medical Intensive Care Unit Patients: Comparisons with APACHE II, SAPS 3, and MPM(0) III",Acute Crit Care,2018,33,4,216-221,10.4266/acc.2018.00178
,5,,,,,,,,,,,
28876406,6,PMC5632967,,"Soares M, Dongelmans DA",2,Why should we not use APACHE II for performance measurement and benchmarking?,Rev Bras Ter Intensiva,2017,29,3,268-270,10.5935/0103-507X.20170043
30612068,7,PMC6377313,,"Bennett CE, Wright RS, Jentzer J, Gajic O, Murphree DH, Murphy JG, Mankad SV, Wiley BM, Bell MR, Barsness GW",10,Severity of illness assessment with application of the APACHE IV predicted mortality and outcome trends analysis in an academic cardiac intensive care unit,J Crit Care,2019,50,"",242-246,10.1016/j.jcrc.2018.12.012
34258059,8,PMC8225448,,"Vandenbrande J, Verbrugge L, Bruckers L, Geebelen L, Geerts E, Callebaut I, Gruyters I, Heremans L, Dubois J, Stessel B",10,Validation of the Acute Physiology and Chronic Health Evaluation (APACHE) II and IV Score in COVID-19 Patients,Crit Care Res Pract,2021,2021,"",5443083,10.1155/2021/5443083
33766288,9,PMC8063502,,"Sarkar R, Martin C, Mattie H, Gichoya JW, Stone DJ, Celi LA",6,Performance of intensive care unit severity scoring systems across different ethnicities in the USA: a retrospective observational study,Lancet Digit Health,2021,3,4,e241-e249,10.1016/S2589-7500(21)00022-4
30701392,10,PMC6353976,,"Falcão ALE, Barros AGA, Bezerra AAM, Ferreira NL, Logato CM, Silva FP, do Monte ABFO, Tonella RM, de Figueiredo LC, Moreno R, Dragosavac D, Andreollo NA",12,"The prognostic accuracy evaluation of SAPS 3, SOFA and APACHE II scores for mortality prediction in the surgical ICU: an external validation study and decision-making analysis",Ann Intensive Care,2019,9,1,18,10.1186/s13613-019-0488-9
28523584,11,PMC5436994,,"Moralez GM, Rabello LSCF, Lisboa TC, Lima MDFA, Hatum RM, De Marco FVC, Alves A, Pinto JEDSS, de Araújo HBN, Ramos GV, Silva AR, Fernandes GC, Faria GBA, Mendes CL, Ramos Filho RÁ, de Souza VP, do Brasil PEAA, Bozza FA, Salluh JIF, Soares M, ORCHESTRA Study Investigators",21,"External validation of SAPS 3 and MPM(0)-III scores in 48,816 patients from 72 Brazilian ICUs",Ann Intensive Care,2017,7,1,53,10.1186/s13613-017-0276-3
12352029,12,,,"Glance LG, Osler TM, Dick A",3,Rating the quality of intensive care units: is it a function of the intensive care unit scoring system?,Crit Care Med,2002,30,9,1976-82,10.1097/00003246-200209000-00005
25365725,13,,10.1097/CCM.0000000000000694,"Kramer AA, Higgins TL, Zimmerman JE",3,Comparing observed and predicted mortality among ICUs using different prognostic systems: why do performance assessments differ?,Crit Care Med,2015,43,2,261-9,10.1097/CCM.0000000000000694
27057783,14,PMC5018925,,"Barbash IJ, Le TQ, Pike F, Barnato AE, Angus DC, Kahn JM",6,The Effect of Intensive Care Unit Admission Patterns on Mortality-based Critical Care Performance Measures,Ann Am Thorac Soc,2016,13,6,877-86,10.1513/AnnalsATS.201509-645OC
22546292,15,PMC3681346,,"Dijkema LM, Dieperink W, van Meurs M, Zijlstra JG",4,Preventable mortality evaluation in the ICU,Crit Care,2012,16,2,309,10.1186/cc11212
37051048,16,PMC10085625,,"Liang Y, Jiang X, Zhang B",3,Evaluating Risk-Adjusted Hospital Performance Using Large-Scale Data on Mortality Rates of Patients in Intensive Care Units: A Flexible Semi-Nonparametric Modeling Approach,IEEE J Transl Eng Health Med,2023,11,"",232-246,10.1109/JTEHM.2023.3257179
35028862,17,PMC9640507,,"Prescott HC, Kadel RP, Eyman JR, Freyberg R, Quarrick M, Brewer D, Hasselbeck R",7,Risk-Adjusting Mortality in the Nationwide Veterans Affairs Healthcare System,J Gen Intern Med,2022,37,15,3877-3884,10.1007/s11606-021-07377-1
,18,,10.1007/s10742-006-0014-z,,,,,,,,,10.1007/s10742-006-0014-z
38102614,19,,10.1186/s12913-023-10423-9,"Ray M, Zhao S, Wang S, Bohl A, Romano PS",5,Improving hospital quality risk-adjustment models using interactions identified by hierarchical group lasso regularisation,BMC Health Serv Res,2023,23,1,1419,10.1186/s12913-023-10423-9
,20,,,,,,,,,,,
33819097,21,,10.1377/hlthaff.2020.01764,"Nerenz DR, Austin JM, Deutscher D, Maddox KEJ, Nuccio EJ, Teigland C, Weinhandl E, Glance LG",8,Adjusting Quality Measures For Social Risk Factors Can Promote Equity In Health Care,Health Aff (Millwood),2021,40,4,637-644,10.1377/hlthaff.2020.01764
38355511,22,PMC10868112,,"Lee SI, Ju YR, Kang DH, Lee JE",4,Characteristics and outcomes of patients with do-not-resuscitate and physician orders for life-sustaining treatment in a medical intensive care unit: a retrospective cohort study,BMC Palliat Care,2024,23,1,42,10.1186/s12904-024-01375-w
38574337,23,,,"Driggers KE, Keenan LM, Alcover KC, Atkin M, Irby K, Kovacs M, McLawhorn MM, Mir-Kasimov M, Sabbahi WZ, Sellman J, Johnson LS",11,Unintended Consequences of Code Status in the Intensive Care Unit: What Happens After a Do-Not-Resuscitate Order Is Placed? A Retrospective Cohort Study,J Palliat Med,2024,27,4,508-514,10.1089/jpm.2023.0289
38742230,24,PMC11090671,,"Asiri A, Alenezi FZ, Tamim H, Sadat M, Bin Humaid F, AlWehaibi W, Al-Dorzi HM, Alzoubi YA, Alanazi SA, Naidu B, Arabi YM",11,Practice and Predictors of Do-Not-Resuscitate Orders in a Tertiary-Care Intensive Care Unit in Saudi Arabia,Crit Care Res Pract,2024,2024,"",5516516,10.1155/2024/5516516
,25,,,,,,,,,,,
28328651,26,PMC5679223,,"Fuchs L, Anstey M, Feng M, Toledano R, Kogan S, Howell MD, Clardy P, Celi L, Talmor D, Novack V",10,Quantifying the Mortality Impact of Do-Not-Resuscitate Orders in the ICU,Crit Care Med,2017,45,6,1019-1027,10.1097/CCM.0000000000002312
23778517,27,PMC3744055,,"Wade CE, del Junco DJ, Fox EE, Cotton BA, Cohen MJ, Muskat P, Schreiber MA, Rahbar MH, Sauer RM, Brasel KJ, Bulger EM, Myers JG, Phelan HA, Alarcon LH, Holcomb JB, PROMMTT Study Group",16,Do-not-resuscitate orders in trauma patients may bias mortality-based effect estimates: an evaluation using the PROMMTT study,J Trauma Acute Care Surg,2013,75,1 Suppl 1,S89-96,10.1097/TA.0b013e31828fa422
,28,,,,,,,,,,,
29676777,29,,,"Patel K, Sinvani L, Patel V, Kozikowski A, Smilios C, Akerman M, Kiszko K, Maiti S, Hajizadeh N, Wolf-Klein G, Pekmezaris R",11,Do-Not-Resuscitate Orders in Older Adults During Hospitalization: A Propensity Score-Matched Analysis,J Am Geriatr Soc,2018,66,5,924-929,10.1111/jgs.15347
25822402,30,,10.1001/jamainternmed.2015.0372,"Hart JL, Harhay MO, Gabler NB, Ratcliffe SJ, Quill CM, Halpern SD",6,Variability Among US Intensive Care Units in Managing the Care of Patients Admitted With Preexisting Limits on Life-Sustaining Therapies,JAMA Intern Med,2015,175,6,1019-26,10.1001/jamainternmed.2015.0372
25904183,31,,10.1007/s00134-015-3810-5,"Mark NM, Rayner SG, Lee NJ, Curtis JR",4,Global variability in withholding and withdrawal of life-sustaining treatment in the intensive care unit: a systematic review,Intensive Care Med,2015,41,9,1572-85,10.1007/s00134-015-3810-5
34364537,32,,10.1016/S2213-2600(21)00261-7,"Avidan A, Sprung CL, Schefold JC, Ricou B, Hartog CS, Nates JL, Jaschinski U, Lobo SM, Joynt GM, Lesieur O, Weiss M, Antonelli M, Bülow HH, Bocci MG, Robertsen A, Anstey MH, Estébanez-Montiel B, Lautrette A, Gruber A, Estella A, Mullick S, Sreedharan R, Michalsen A, Feldman C, Tisljar K, Posch M, Ovu S, Tamowicz B, Demoule A, DeKeyser Ganz F, Pargger H, Noto A, Metnitz P, Zubek L, de la Guardia V, Danbury CM, Szűcs O, Protti A, Filipe M, Simpson SQ, Green C, Giannini AM, Soliman IW, Piras C, Caser EB, Hache-Marliere M, Mentzelopoulos SD, ETHICUS-2 Study Group",48,Variations in end-of-life practices in intensive care units worldwide (Ethicus-2): a prospective observational study,Lancet Respir Med,2021,9,10,1101-1110,10.1016/S2213-2600(21)00261-7
19820614,33,PMC2777615,,"Barnato AE, Farrell MH, Chang CC, Lave JR, Roberts MS, Angus DC",6,"Development and validation of hospital ""end-of-life"" treatment intensity measures",Med Care,2009,47,10,1098-105,10.1097/MLR.0b013e3181993191
22940755,34,,10.1007/s00134-012-2661-6,"Barnato AE, Tate JA, Rodriguez KL, Zickmund SL, Arnold RM",5,Norms of decision making in the ICU: a case study of two academic medical centers at the extremes of end-of-life treatment intensity,Intensive Care Med,2012,38,11,1886-96,10.1007/s00134-012-2661-6
24615275,35,PMC4026761,,"Barnato AE, Mohan D, Lane RK, Huang YM, Angus DC, Farris C, Arnold RM",7,Advance care planning norms may contribute to hospital variation in end-of-life ICU use: a simulation study,Med Decis Making,2014,34,4,473-84,10.1177/0272989X14522099
27033890,36,,10.1007/s00134-016-4340-5,"Curtis JR, Engelberg RA, Teno JM",3,Understanding variability of end-of-life care in the ICU for the elderly,Intensive Care Med,2017,43,1,94-96,10.1007/s00134-016-4340-5
